"zip_code","listing_id","host_is_superhost","host_identity_verified","host_neighbourhood","latitude","longitude","property_type","accommodates","bedrooms","beds","bathrooms","number_of_reviews","review_scores_rating","price","shared_bath","pool","fireplace","jacuzzi","self_checkin","parking","lake_access","sauna","pets_allowed","washer_dryer","gym","median_price_SQFT","total_listing_count","property_type_clean","downtown"
76530,48270639,1,1,NA,30.79622,-97.43305,"Entire place",9,2,4,2,51,4.76,258,0,0,0,0,1,1,0,0,0,1,0,304,11,"house",0
76530,51083561,1,0,NA,30.72849,-97.55681,"Farm stay",9,3,6,3,11,5,307,0,0,1,0,1,1,0,0,0,1,0,304,11,"other",0
76530,573091542799430720,1,1,"Silva Terrace",30.73674,-97.5727,"Entire home",16,5,7,3,11,4.64,484,0,1,0,0,0,1,0,0,0,1,0,304,11,"house",0
76530,685580296539805056,0,0,"Lakewood Addition",30.73303,-97.2586,"Entire cabin",4,1,2,1,0,NA,117,0,0,1,0,0,1,0,0,0,0,0,304,11,"house",0
76530,40239889,1,1,NA,30.79503,-97.42569,"Entire place",7,3,5,2,138,4.88,234,0,0,0,0,0,1,0,0,0,1,0,304,11,"house",0
76530,685580271347022848,0,0,"Lakewood Addition",30.73294,-97.25869,"Entire cabin",3,1,2,1,1,5,117,0,0,0,0,0,1,0,0,0,1,0,304,11,"house",0
76530,45085447,1,1,NA,30.794346,-97.432426,"Entire guesthouse",2,1,1,1,56,5,94,0,0,0,0,0,1,0,0,0,0,0,304,11,"house",0
76574,49710983,1,1,NA,30.57046,-97.41328,"Entire home",4,2,2,1,13,4.69,144,0,0,0,0,0,1,0,0,0,1,0,227,81,"house",0
76574,573843289520340480,0,1,NA,30.5903,-97.44551,"Entire guesthouse",2,1,1,1,1,4,77,0,0,0,0,0,1,0,0,0,0,0,227,81,"house",0
76574,640586502572609920,0,1,NA,30.56942,-97.41369,"Private room in home",1,1,1,1,0,NA,36,1,0,0,0,0,1,0,0,0,1,0,227,81,"private_room",0
76574,603074827404887808,1,1,NA,30.58255,-97.43831,"Entire home",6,3,4,2,14,4.86,116,0,0,1,0,0,1,0,0,0,1,0,227,81,"house",0
76574,13575499,0,1,"Crestview",30.57814,-97.41147,"Entire cottage",4,2,3,1,0,NA,145,0,0,0,0,1,1,1,0,0,1,0,227,81,"house",0
76574,656492197405718016,0,1,NA,30.58331,-97.43053,"Entire home",8,4,4,2.5,7,5,165,0,0,1,0,1,1,0,0,0,1,0,227,81,"house",0
76574,50856834,0,1,NA,30.574636,-97.414856,"Private room in bed and breakfast",2,1,1,1,6,5,207,0,1,0,0,0,1,0,0,0,0,0,227,81,"private_room",0
76574,36562221,0,1,NA,30.57173,-97.40955,"Entire home",8,4,3,2.5,24,4.71,112,0,0,0,0,0,1,0,0,0,1,0,227,81,"house",0
76574,53391204,0,1,NA,30.49021,-97.49941,"Entire home",10,4,7,3,4,5,340,0,0,1,0,1,1,0,0,0,1,0,227,81,"house",0
76574,53792039,1,1,NA,30.57556,-97.40853,"Entire home",6,3,3,2,22,4.95,171,0,1,1,0,1,1,0,0,0,1,0,227,81,"house",0
76574,36563570,0,1,NA,30.57147,-97.4111,"Entire home",9,3,5,2,21,4.52,115,0,1,0,1,0,1,0,0,0,1,0,227,81,"house",0
76574,48483331,1,1,NA,30.52809,-97.35774,"Entire home",2,1,NA,1,93,5,128,0,0,1,0,0,1,0,0,0,1,0,227,81,"house",0
76574,35428453,1,1,NA,30.52957,-97.35953,"Farm stay",4,2,2,1,121,4.98,135,0,0,0,0,1,1,0,0,0,1,0,227,81,"other",0
76574,53308012,1,1,"Dove Creek",30.5529,-97.41334,"Entire home",4,2,2,1,21,4.95,96,0,0,0,0,0,1,0,0,0,1,0,227,81,"house",0
76574,51825690,1,1,NA,30.57847,-97.42226,"Entire home",6,3,3,2,45,4.87,150,0,0,0,0,0,1,0,0,0,1,0,227,81,"house",0
76574,689732712276958592,0,1,NA,30.63805,-97.43352,"Entire home",9,2,5,1,1,5,115,0,0,0,0,0,1,0,0,0,1,0,227,81,"house",0
76574,45496731,0,1,NA,30.56784,-97.41411,"Private room in home",1,3,3,1,0,NA,35,0,0,0,0,0,1,0,0,0,1,0,227,81,"private_room",0
76574,50880213,0,1,NA,30.574636,-97.414856,"Private room in bed and breakfast",2,1,1,1,2,5,189,1,1,0,0,0,1,0,0,0,0,0,227,81,"private_room",0
76574,51014784,0,1,"West Austin",30.48102,-97.46995,"Entire cabin",6,2,3,1.5,22,4.41,152,0,0,1,1,1,1,0,0,0,1,0,227,81,"house",0
76574,643993125496853888,0,0,"Highland Woods",30.51842,-97.48778,"Farm stay",6,3,3,1,11,4.82,112,0,0,0,0,0,1,0,0,0,1,0,227,81,"other",0
76574,31186817,1,1,NA,30.57041,-97.41299,"Entire home",4,2,2,1,47,5,141,0,0,0,0,0,1,0,0,0,1,0,227,81,"house",0
76574,650020456511729920,0,0,NA,30.56959,-97.41393,"Entire home",4,3,3,1,5,5,173,0,0,0,0,0,1,0,0,0,1,0,227,81,"house",0
76574,610870022197604480,0,1,NA,30.588758,-97.419991,"Entire home",4,2,2,1,11,4.73,120,0,0,0,0,0,1,0,0,0,1,0,227,81,"house",0
76574,50857459,0,1,NA,30.574636,-97.414856,"Private room in bed and breakfast",2,1,1,1,1,5,207,0,1,0,0,0,1,0,0,0,0,0,227,81,"private_room",0
